69.21577,3.1,8.333663
69.35517,3.1,8.344417
69.49438,3.1,8.357623
69.63338,3.1,8.372717
69.77222,3.1,8.389241
69.9109,3.1,8.407158
70.04944,3.1,8.426137
70.18784,3.1,8.445992
70.32614,3.1,8.46664
70.46428,3.1,8.48831
70.60235,3.1,8.510409
70.74027,3.1,8.533446
70.87811,3.1,8.556918
71.0158,3.1,8.581264
71.15343,3.1,8.605951
71.29089,3.1,8.631579
71.42832,3.1,8.657375
71.56554,3.1,8.684284
71.70276,3.1,8.711192
71.83972,3.1,8.739326
71.97668,3.1,8.767536
72.11343,3.1,8.7967
72.2501,3.1,8.826254
72.38664,3.1,8.856357
72.52304,3.1,8.887138
72.65926,3.1,8.918736
72.79539,3.1,8.950657
72.93126,3.1,8.983705
73.06702,3.1,9.017147
73.20258,3.1,9.051425
73.33794,3.1,9.086518
73.47316,3.1,9.122108
73.6081,3.1,9.158786
73.74278,3.1,9.19635
73.87721,3.1,9.234837
74.01135,3.1,9.274305
74.14518,3.1,9.314825
74.27866,3.1,9.356474
74.41175,3.1,9.399343
74.54442,3.1,9.443535
74.67658,3.1,9.489174
74.80819,3.1,9.536402
74.93916,3.1,9.585385
75.06937,3.1,9.63632
75.19872,3.1,9.68944
75.32702,3.1,9.745018
75.45407,3.1,9.803384
75.57933,3.1,9.865523
75.70256,3.1,9.931578
75.82325,3.1,10.00217
